instance_name,provider,region,vcpus,memory_gb,storage_gb,storage_type,hourly_cost,monthly_cost,spot_price,currency,instance_family,network_performance,last_updated
r7gd.16xlarge,AWS,Asia Pacific (Sydney),64,512.0,2,2 x 1900 NVMe SSD,5.0112,3658.176,,USD,Memory optimized,30 Gigabit,2025-08-27 14:40:51.590429
t3.nano,AWS,Asia Pacific (Mumbai),2,0.5,0,EBS only,0.0056,4.088,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.590572
p2.xlarge,AWS,Asia Pacific (Sydney),4,61.0,0,EBS only,1.542,1125.66,,USD,GPU instance,High,2025-08-27 14:40:51.590619
x2iedn.16xlarge,AWS,South America (Sao Paulo),64,2048.0,1,1 x 1900 NVMe SSD,26.01,18987.300000000003,,USD,Memory optimized,50 Gigabit,2025-08-27 14:40:51.590722
m7i.24xlarge,AWS,US West (N. California),96,384.0,0,EBS only,5.6448,4120.704,,USD,General purpose,37500 Megabit,2025-08-27 14:40:51.590824
r7gd.12xlarge,AWS,Asia Pacific (Mumbai),48,384.0,2,2 x 1425 NVMe SSD,2.112,1541.76,,USD,Memory optimized,22500 Megabit,2025-08-27 14:40:51.590923
c5d.9xlarge,AWS,EU (London),36,72.0,1,1 x 900 NVMe SSD,2.07,1511.1,,USD,Compute optimized,10 Gigabit,2025-08-27 14:40:51.591026
m7i.24xlarge,AWS,Asia Pacific (Melbourne),96,384.0,0,EBS only,6.048,4415.04,,USD,General purpose,37500 Megabit,2025-08-27 14:40:51.591128
i2.2xlarge,AWS,Asia Pacific (Seoul),8,61.0,2,2 x 800 SSD,2.001,1460.73,,USD,Storage optimized,High,2025-08-27 14:40:51.591237
c3.2xlarge,AWS,EU (Ireland),8,15.0,2,2 x 80 SSD,0.478,348.94,,USD,Compute optimized,High,2025-08-27 14:40:51.591364
r3.large,AWS,AWS GovCloud (US-West),2,15.25,1,1 x 32 SSD,0.2,146.0,,USD,Memory optimized,Moderate,2025-08-27 14:40:51.591491
x2iedn.xlarge,AWS,US East (N. Virginia),4,128.0,1,1 x 118 NVMe SSD,0.83363,608.5499,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:40:51.591625
r5.16xlarge,AWS,AWS GovCloud (US-East),64,512.0,0,EBS only,4.832,3527.3599999999997,,USD,Memory optimized,20 Gigabit,2025-08-27 14:40:51.591763
r6g.8xlarge,AWS,Europe (Spain),32,256.0,0,EBS only,1.8048,1317.504,,USD,Memory optimized,12 Gigabit,2025-08-27 14:40:51.591895
c5ad.xlarge,AWS,EU (Ireland),4,8.0,1,1 x 150 NVMe SSD,0.196,143.08,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:51.592031
c5ad.12xlarge,AWS,South America (Sao Paulo),48,96.0,2,2 x 900 NVMe SSD,3.216,2347.6800000000003,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.592164
i7ie.48xlarge,AWS,EU (London),192,1536.0,16,16 x 7500 NVMe SSD,29.0352,21195.696,,USD,Storage optimized,100 Gigabit,2025-08-27 14:40:51.592226
m2.2xlarge,AWS,EU (Ireland),4,34.2,1,1 x 850 SSD,0.55,401.50000000000006,,USD,Memory optimized,Moderate,2025-08-27 14:40:51.592309
r5.2xlarge,AWS,Taiwan (Taipei),8,64.0,0,EBS only,0.76,554.8,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:51.592352
m5d.24xlarge,AWS,EU (London),96,384.0,4,4 x 900 NVMe SSD,6.288,4590.24,,USD,General purpose,25 Gigabit,2025-08-27 14:40:51.592476
m5ad.4xlarge,AWS,EU (London),16,64.0,2,2 x 300 NVMe SSD,0.96,700.8,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:51.592613
m7g.2xlarge,AWS,Mexico (Central),8,32.0,0,EBS only,0.3427,250.171,,USD,General purpose,Up to 15 Gigabit,2025-08-27 14:40:51.592746
c5.24xlarge,AWS,Africa (Cape Town),96,192.0,0,EBS only,5.472,3994.5600000000004,,USD,Compute optimized,25 Gigabit,2025-08-27 14:40:51.593004
r5d.4xlarge,AWS,US East (Kansas City 2),16,128.0,2,2 x 300 NVMe SSD,1.44,1051.2,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:51.593053
m5d.4xlarge,AWS,Asia Pacific (Jakarta),16,64.0,2,2 x 300 NVMe SSD,1.128,823.4399999999999,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:51.593176
r6a.32xlarge,AWS,US East (Ohio),128,1024.0,0,EBS only,7.2576,5298.048,,USD,Memory optimized,50000 Megabit,2025-08-27 14:40:51.593312
r5d.12xlarge,AWS,Asia Pacific (Mumbai),48,384.0,2,2 x 900 NVMe SSD,3.624,2645.52,,USD,Memory optimized,10 Gigabit,2025-08-27 14:40:51.593448
r5.4xlarge,AWS,Asia Pacific (Sydney),16,128.0,0,EBS only,1.208,881.8399999999999,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:51.593586
t3.medium,AWS,Mexico (Queretaro),2,4.0,0,EBS only,0.0562,41.026,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.593635
c6gd.large,AWS,Europe (Spain),2,4.0,1,1 x 118 NVMe SSD,0.0872,63.656,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:51.593760
d2.4xlarge,AWS,Canada (Central),16,122.0,12,12 x 2000 HDD,3.036,2216.28,,USD,Storage optimized,High,2025-08-27 14:40:51.593889
t4g.nano,AWS,AWS GovCloud (US-West),2,0.5,0,EBS only,0.0049,3.577,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.594034
c6g.8xlarge,AWS,Asia Pacific (Osaka),32,64.0,0,EBS only,1.376,1004.4799999999999,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.594165
im4gn.4xlarge,AWS,US East (Ohio),16,64.0,1,1 x 7500 SSD,1.45517,1062.2741,,USD,Storage optimized,25 Gigabit,2025-08-27 14:40:51.594296
r4.8xlarge,AWS,Asia Pacific (Sydney),32,244.0,0,EBS only,2.5536,1864.128,,USD,Memory optimized,10 Gigabit,2025-08-27 14:40:51.594434
c5.12xlarge,AWS,US West (Oregon),48,96.0,0,EBS only,2.04,1489.2,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.594627
r6gd.metal,AWS,EU (Stockholm),64,512.0,2,2 x 1900 NVMe SSD,3.8912,2840.576,,USD,Memory optimized,25 Gigabit,2025-08-27 14:40:51.594760
t3.medium,AWS,South America (Sao Paulo),2,4.0,0,EBS only,0.0672,49.056,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.594874
t2.nano,AWS,Asia Pacific (Osaka),1,0.5,0,EBS only,0.0076,5.548,,USD,General purpose,Low,2025-08-27 14:40:51.595072
r6i.4xlarge,AWS,US East (N. Virginia),16,128.0,0,EBS only,1.008,735.84,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:51.595169
m6g.12xlarge,AWS,Israel (Tel Aviv),48,192.0,0,EBS only,2.1672,1582.0559999999998,,USD,General purpose,20 Gigabit,2025-08-27 14:40:51.595263
r5a.2xlarge,AWS,Asia Pacific (Seoul),8,64.0,0,EBS only,0.544,397.12,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:51.595357
m6id.metal,AWS,US East (Ohio),128,512.0,4,4 x 1900 NVMe SSD,7.5936,5543.328,,USD,General purpose,50000 Megabit,2025-08-27 14:40:51.595451
c5d.xlarge,AWS,AWS GovCloud (US-West),4,8.0,1,1 x 100 NVMe SSD,0.232,169.36,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:51.595554
m8gd.xlarge,AWS,EU (Frankfurt),4,16.0,1,1 x 237 NVMe SSD,0.2776,202.648,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:51.595590
m7i-flex.xlarge,AWS,Canada (Central),4,16.0,0,EBS only,0.21346,155.82580000000002,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:51.595678
g5.12xlarge,AWS,Canada (Central),48,192.0,1,1 x 3800 GB NVMe SSD,6.29784,4597.4232,,USD,GPU instance,40 Gigabit,2025-08-27 14:40:51.595775
i7i.24xlarge,AWS,US West (Oregon),96,768.0,6,6 x 3750 NVMe SSD,9.0605,6614.165,,USD,Storage optimized,Up to 56.25 Gigabit,2025-08-27 14:40:51.595810
m7i-flex.xlarge,AWS,Asia Pacific (Osaka),4,16.0,0,EBS only,0.24738,180.5874,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:51.595897
c6gd.8xlarge,AWS,US West (N. California),32,64.0,1,1 x 1900 NVMe SSD,1.536,1121.28,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.596007
c6i.8xlarge,AWS,US West (N. California),32,64.0,0,EBS only,1.696,1238.08,,USD,Compute optimized,12500 Megabit,2025-08-27 14:40:51.596101
c5.metal,AWS,Europe (Zurich),96,192.0,0,EBS only,5.122,3739.06,,USD,Compute optimized,25 Gigabit,2025-08-27 14:40:51.596194
u-6tb1.112xlarge,AWS,EU (Paris),448,6144.0,0,EBS only,64.133,46817.09,,USD,Memory optimized,100 Gigabit,2025-08-27 14:40:51.596287
d3.xlarge,AWS,Israel (Tel Aviv),4,32.0,3,3 x 2000 HDD,0.64,467.2,,USD,Storage optimized,Up to 15 Gigabit,2025-08-27 14:40:51.596382
x2idn.16xlarge,AWS,Middle East (UAE),64,1024.0,1,1 x 1900 NVMe SSD,8.204,5988.92,,USD,Memory optimized,50 Gigabit,2025-08-27 14:40:51.596484
t3.micro,AWS,EU (Paris),2,1.0,0,EBS only,0.0118,8.613999999999999,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.596578
g4dn.2xlarge,AWS,Asia Pacific (SKT) - Seoul,8,32.0,225,225 GB NVMe SSD,1.249,911.7700000000001,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:40:51.596616
c4.8xlarge,AWS,Canada (Central),36,60.0,0,EBS only,1.75,1277.5,,USD,Compute optimized,10 Gigabit,2025-08-27 14:40:51.596703
c6gd.large,AWS,Asia Pacific (Tokyo),2,4.0,1,1 x 118 NVMe SSD,0.098,71.54,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:51.596803
i3.8xlarge,AWS,Asia Pacific (Osaka),32,244.0,4,4 x 1900 NVMe SSD,2.928,2137.44,,USD,Storage optimized,10 Gigabit,2025-08-27 14:40:51.596900
c1.medium,AWS,US West (Oregon),2,1.7,1,1 x 350 SSD,0.13,94.9,,USD,Compute optimized,Moderate,2025-08-27 14:40:51.596962
m7g.metal,AWS,Israel (Tel Aviv),64,256.0,0,EBS only,3.056,2230.88,,USD,General purpose,30 Gigabit,2025-08-27 14:40:51.597049
r8g.medium,AWS,US West (N. California),1,8.0,0,EBS only,0.06545,47.778499999999994,,USD,Memory optimized,Up to 12.5 Gigabit,2025-08-27 14:40:51.597143
c7i.metal-24xl,AWS,Europe (Spain),96,192.0,0,EBS only,4.596,3355.08,,USD,Compute optimized,37500 Megabit,2025-08-27 14:40:51.597236
t4g.2xlarge,AWS,AWS GovCloud (US-West),8,32.0,0,EBS only,0.3136,228.928,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.597328
c5a.12xlarge,AWS,AWS GovCloud (US-East),48,96.0,0,EBS only,2.208,1611.8400000000001,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.597426
m6g.xlarge,AWS,Europe (Spain),4,16.0,0,EBS only,0.172,125.55999999999999,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:51.597520
m5.24xlarge,AWS,Middle East (Bahrain),96,384.0,0,EBS only,5.65,4124.5,,USD,General purpose,25 Gigabit,2025-08-27 14:40:51.597614
c5ad.12xlarge,AWS,EU (Milan),48,96.0,2,2 x 900 NVMe SSD,2.472,1804.56,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.597710
t2.xlarge,AWS,EU (London),4,16.0,0,EBS only,0.2112,154.176,,USD,General purpose,Moderate,2025-08-27 14:40:51.597802
c5d.12xlarge,AWS,EU (Ireland),48,96.0,2,2 x 900 NVMe SSD,2.616,1909.68,,USD,Compute optimized,12 Gigabit,2025-08-27 14:40:51.597898
m7gd.metal,AWS,Asia Pacific (Sydney),64,256.0,2,2 x 1900 NVMe SSD,4.2941,3134.693,,USD,General purpose,30 Gigabit,2025-08-27 14:40:51.597992
c7g.xlarge,AWS,Asia Pacific (Malaysia),4,8.0,0,EBS only,0.1416,103.36800000000001,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:40:51.598089
inf1.6xlarge,AWS,Asia Pacific (Hong Kong),24,48.0,0,EBS only,1.819,1327.87,,USD,Machine Learning ASIC Instances,25 Gigabit,2025-08-27 14:40:51.598181
c7i.metal-24xl,AWS,Asia Pacific (Thailand),96,192.0,0,EBS only,4.19856,3064.9487999999997,,USD,Compute optimized,37500 Megabit,2025-08-27 14:40:51.598274
r7a.2xlarge,AWS,EU (Stockholm),8,64.0,0,EBS only,0.6472,472.456,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:51.598366
c7gd.medium,AWS,Asia Pacific (Mumbai),1,2.0,1,1 x 59 NVMe SSD,0.0288,21.024,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:40:51.598457
i4i.2xlarge,AWS,Middle East (UAE),8,64.0,1,1 x 1875 NVMe SSD,0.832,607.36,,USD,Storage optimized,Up to 12 Gigabit,2025-08-27 14:40:51.598551
m7i.8xlarge,AWS,Europe (Spain),32,128.0,0,EBS only,1.7976,1312.248,,USD,General purpose,12500 Megabit,2025-08-27 14:40:51.598645
m6gd.metal,AWS,Asia Pacific (Taipei),64,256.0,2,2 x 1900 NVMe SSD,3.3696,2459.808,,USD,General purpose,25 Gigabit,2025-08-27 14:40:51.598679
t3.xlarge,AWS,Australia (Perth),4,16.0,0,EBS only,0.2851,208.12300000000002,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:51.598706
m6idn.4xlarge,AWS,EU (Frankfurt),16,64.0,1,1 x 950 NVMe SSD,1.51632,1106.9135999999999,,USD,General purpose,Up to 50000 Megabit,2025-08-27 14:40:51.598792
m5.24xlarge,AWS,US East (N. Virginia),96,384.0,0,EBS only,4.608,3363.8399999999997,,USD,General purpose,25 Gigabit,2025-08-27 14:40:51.598892
m4.10xlarge,AWS,AWS GovCloud (US-West),40,160.0,0,EBS only,2.52,1839.6,,USD,General purpose,10 Gigabit,2025-08-27 14:40:51.598985
i4i.16xlarge,AWS,AWS GovCloud (US-West),64,512.0,4,4 x 3750 NVMe SSD,6.618,4831.14,,USD,Storage optimized,35000 Megabit,2025-08-27 14:40:51.599100
r5d.4xlarge,AWS,EU (Milan),16,128.0,2,2 x 300 NVMe SSD,1.344,981.12,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:51.599233
u-6tb1.112xlarge,AWS,EU (London),448,6144.0,0,EBS only,64.133,46817.09,,USD,Memory optimized,100 Gigabit,2025-08-27 14:40:51.599375
g5.12xlarge,AWS,US East (Ohio),48,192.0,1,1 x 3800 GB NVMe SSD,5.672,4140.5599999999995,,USD,GPU instance,40 Gigabit,2025-08-27 14:40:51.599588
d2.2xlarge,AWS,US East (Ohio),8,61.0,6,6 x 2000 HDD,1.38,1007.4,,USD,Storage optimized,High,2025-08-27 14:40:51.599724
r5.12xlarge,AWS,Asia Pacific (Seoul),48,384.0,0,EBS only,3.648,2663.04,,USD,Memory optimized,10 Gigabit,2025-08-27 14:40:51.599853
c6a.metal,AWS,US East (Ohio),192,384.0,0,EBS only,7.344,5361.12,,USD,Compute optimized,50000 Megabit,2025-08-27 14:40:51.599989
c4.2xlarge,AWS,Asia Pacific (Seoul),8,15.0,0,EBS only,0.454,331.42,,USD,Compute optimized,High,2025-08-27 14:40:51.600119
x2iedn.4xlarge,AWS,US East (Ohio),16,512.0,1,1 x 475 NVMe SSD,3.3345,2434.185,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:40:51.600253
r7gd.xlarge,AWS,Asia Pacific (Hong Kong),4,32.0,1,1 x 237 NVMe SSD,0.3308,241.48399999999998,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:51.600383
c7g.8xlarge,AWS,US West (N. California),32,64.0,0,EBS only,1.4416,1052.368,,USD,Compute optimized,15 Gigabit,2025-08-27 14:40:51.600479
m6gd.medium,AWS,Asia Pacific (Tokyo),1,4.0,1,1 x 59 NVMe SSD,0.0585,42.705000000000005,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:51.600573
c8g.48xlarge,AWS,Asia Pacific (Thailand),192,384.0,0,EBS only,7.47648,5457.8304,,USD,Compute optimized,50 Gigabit,2025-08-27 14:40:51.600669
m6a.2xlarge,AWS,EU (Milan),8,32.0,0,EBS only,0.4032,294.336,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:54.732460
m5.4xlarge,AWS,Asia Pacific (Hong Kong),16,64.0,0,EBS only,1.056,770.88,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:54.732571
m7g.4xlarge,AWS,Middle East (UAE),16,64.0,0,EBS only,0.8004,584.292,,USD,General purpose,Up to 15 Gigabit,2025-08-27 14:40:54.732652
m6id.4xlarge,AWS,AWS GovCloud (US-West),16,64.0,1,1 x 950 NVMe SSD,1.2016,877.168,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:54.732734
c5ad.large,AWS,South America (Sao Paulo),2,4.0,1,1 x 75 NVMe SSD,0.134,97.82000000000001,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.732811
m3.2xlarge,AWS,Asia Pacific (Tokyo),8,30.0,2,2 x 80 SSD,0.77,562.1,,USD,General purpose,High,2025-08-27 14:40:54.732887
t4g.xlarge,AWS,Asia Pacific (Jakarta),4,16.0,0,EBS only,0.1696,123.808,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:54.733069
r7gd.12xlarge,AWS,Asia Pacific (Sydney),48,384.0,2,2 x 1425 NVMe SSD,3.7584,2743.632,,USD,Memory optimized,22500 Megabit,2025-08-27 14:40:54.733168
m6gd.16xlarge,AWS,South America (Sao Paulo),64,256.0,2,2 x 1900 NVMe SSD,4.608,3363.8399999999997,,USD,General purpose,25 Gigabit,2025-08-27 14:40:54.733436
m7gd.metal,AWS,Mexico (Central),64,256.0,2,2 x 1900 NVMe SSD,3.5878,2619.094,,USD,General purpose,30 Gigabit,2025-08-27 14:40:54.733590
m4.10xlarge,AWS,EU (Ireland),40,160.0,0,EBS only,2.22,1620.6000000000001,,USD,General purpose,10 Gigabit,2025-08-27 14:40:54.733724
c4.8xlarge,AWS,Asia Pacific (Tokyo),36,60.0,0,EBS only,2.016,1471.68,,USD,Compute optimized,10 Gigabit,2025-08-27 14:40:54.734236
x2iedn.32xlarge,AWS,South America (Sao Paulo),128,4096.0,2,2 x 1900 NVMe SSD,52.02,37974.600000000006,,USD,Memory optimized,100 Gigabit,2025-08-27 14:40:54.734455
c5d.metal,AWS,Asia Pacific (Jakarta),96,192.0,4,4 x 900 NVMe SSD,5.376,3924.48,,USD,Compute optimized,25 Gigabit,2025-08-27 14:40:54.735442
m7i.16xlarge,AWS,US West (Oregon),64,256.0,0,EBS only,3.2256,2354.688,,USD,General purpose,25000 Megabit,2025-08-27 14:40:54.735582
r7i.12xlarge,AWS,EU (Milan),48,384.0,0,EBS only,3.7296,2722.608,,USD,Memory optimized,18750 Megabit,2025-08-27 14:40:54.735712
c6gd.metal,AWS,US West (N. California),64,128.0,2,2 x 1900 NVMe SSD,3.072,2242.56,,USD,Compute optimized,25 Gigabit,2025-08-27 14:40:54.736538
m6i.2xlarge,AWS,Asia Pacific (Sydney),8,32.0,0,EBS only,0.48,350.4,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:54.736675
g6.xlarge,AWS,US West (Oregon),4,16.0,1,1 x 250 GB NVMe SSD,0.8048,587.504,,USD,GPU instance,Up to 10 Gigabit,2025-08-27 14:40:54.736757
m5zn.2xlarge,AWS,Asia Pacific (Seoul),8,32.0,0,EBS only,0.812,592.76,,USD,General purpose,Up to 25 Gigabit,2025-08-27 14:40:54.736832
m6i.32xlarge,AWS,Canada West (Calgary),128,512.0,0,EBS only,6.848,4999.04,,USD,General purpose,50000 Megabit,2025-08-27 14:40:54.736900
c6gd.4xlarge,AWS,Europe (Zurich),16,32.0,1,1 x 950 NVMe SSD,0.7832,571.736,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.736968
r5ad.24xlarge,AWS,EU (Ireland),96,768.0,4,4 x 900 NVMe SSD,7.008,5115.84,,USD,Memory optimized,20 Gigabit,2025-08-27 14:40:54.737036
c6gd.medium,AWS,Asia Pacific (Sydney),1,2.0,1,1 x 59 NVMe SSD,0.0505,36.865,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.737102
r5n.12xlarge,AWS,Africa (Cape Town),48,384.0,0,EBS only,4.768,3480.64,,USD,Memory optimized,50 Gigabit,2025-08-27 14:40:54.737178
r8gd.8xlarge,AWS,EU (Frankfurt),32,256.0,1,1 x 1900 NVMe SSD,2.82496,2062.2208,,USD,Memory optimized,15 Gigabit,2025-08-27 14:40:54.737211
r6i.8xlarge,AWS,US East (Miami),32,256.0,0,EBS only,2.52,1839.6,,USD,Memory optimized,12500 Megabit,2025-08-27 14:40:54.737235
c6in.32xlarge,AWS,EU (Ireland),128,256.0,0,EBS only,8.1984,5984.831999999999,,USD,Compute optimized,200000 Megabit,2025-08-27 14:40:54.737313
r6i.4xlarge,AWS,EU (Ireland),16,128.0,0,EBS only,1.128,823.4399999999999,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:54.737482
c6in.4xlarge,AWS,EU (Stockholm),16,32.0,0,EBS only,0.9744,711.312,,USD,Compute optimized,Up to 50000 Megabit,2025-08-27 14:40:54.737563
x2iedn.xlarge,AWS,US East (Ohio),4,128.0,1,1 x 118 NVMe SSD,0.83363,608.5499,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:40:54.737645
i4g.16xlarge,AWS,EU (Ireland),64,512.0,4,4 x 3750 SSD,5.44637,3975.8501,,USD,Storage optimized,37500 Megabit,2025-08-27 14:40:54.737727
r5d.metal,AWS,Asia Pacific (Osaka),96,768.0,4,4 x 900 NVMe SSD,8.352,6096.96,,USD,Memory optimized,25 Gigabit,2025-08-27 14:40:54.737810
r6i.2xlarge,AWS,EU (Frankfurt),8,64.0,0,EBS only,0.608,443.84,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:54.737892
r5a.2xlarge,AWS,Asia Pacific (Tokyo),8,64.0,0,EBS only,0.548,400.04,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:54.737971
r7g.large,AWS,Asia Pacific (Hyderabad),2,16.0,0,EBS only,0.0751,54.823,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:40:54.738053
m2.2xlarge,AWS,South America (Sao Paulo),4,34.2,1,1 x 850 SSD,0.645,470.85,,USD,Memory optimized,Moderate,2025-08-27 14:40:54.738106
hpc7a.24xlarge,AWS,Asia Pacific (Malaysia),48,768.0,0,EBS only,9.0793,6627.889,,USD,Compute optimized,300 Gigabit,2025-08-27 14:40:54.740043
m5d.xlarge,AWS,EU (Stockholm),4,16.0,1,1 x 150 NVMe SSD,0.24,175.2,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:54.740216
c6g.large,AWS,Asia Pacific (Jakarta),2,4.0,0,EBS only,0.0784,57.232,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.740312
t3.micro,AWS,Canada (Central),2,1.0,0,EBS only,0.0116,8.468,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:54.740396
m6in.large,AWS,EU (Stockholm),2,8.0,0,EBS only,0.148,108.03999999999999,,USD,General purpose,Up to 25000 Megabit,2025-08-27 14:40:54.740815
r8i.32xlarge,AWS,US West (Oregon),128,1024.0,0,EBS only,8.89088,6490.3423999999995,,USD,Memory optimized,50000 Megabit,2025-08-27 14:40:54.740884
m5.4xlarge,AWS,Chile (Santiago),16,64.0,0,EBS only,1.285,938.05,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:40:54.740932
c6gn.medium,AWS,Asia Pacific (Sydney),1,2.0,0,EBS only,0.0565,41.245000000000005,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:40:54.741013
c6g.2xlarge,AWS,EU (Milan),8,16.0,0,EBS only,0.3232,235.93599999999998,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.741100
g4dn.xlarge,AWS,EU (Ireland),4,16.0,125,125 GB NVMe SSD,0.587,428.51,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:40:54.741172
c7gd.medium,AWS,US East (Ohio),1,2.0,1,1 x 59 NVMe SSD,0.0454,33.142,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:40:54.741237
c6gd.large,AWS,US East (N. Virginia),2,4.0,1,1 x 118 NVMe SSD,0.0768,56.06399999999999,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:40:54.741303
m5d.metal,AWS,Asia Pacific (Singapore),96,384.0,4,4 x 900 NVMe SSD,6.768,4940.639999999999,,USD,General purpose,25 Gigabit,2025-08-27 14:40:54.741371
r5a.large,AWS,EU (London),2,16.0,0,EBS only,0.133,97.09,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:54.741437
m5zn.12xlarge,AWS,South America (Sao Paulo),48,192.0,0,EBS only,6.3178,4611.994,,USD,General purpose,100 Gigabit,2025-08-27 14:40:54.741502
r6a.metal,AWS,US West (N. California),192,1536.0,0,EBS only,12.096,8830.08,,USD,Memory optimized,50000 Megabit,2025-08-27 14:40:54.741568
r5.large,AWS,EU (Paris),2,16.0,0,EBS only,0.148,108.03999999999999,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:54.741637
r8g.4xlarge,AWS,Asia Pacific (Malaysia),16,128.0,0,EBS only,0.9664,705.472,,USD,Memory optimized,Up to 15 Gigabit,2025-08-27 14:40:54.741703
z1d.2xlarge,AWS,Asia Pacific (Sydney),8,64.0,1,1 x 300 NVMe SSD,0.904,659.9200000000001,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:40:54.741771
c6in.32xlarge,AWS,Canada (Central),128,256.0,0,EBS only,7.9296,5788.608,,USD,Compute optimized,200000 Megabit,2025-08-27 14:40:54.741837
m7gd.xlarge,AWS,US West (N. California),4,16.0,1,1 x 237 NVMe SSD,0.2514,183.52200000000002,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:40:54.741901
t3.xlarge,AWS,Asia Pacific (Taipei),4,16.0,0,EBS only,0.1958,142.934,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:40:54.741925
r7g.12xlarge,AWS,EU (Ireland),48,384.0,0,EBS only,2.8764,2099.772,,USD,Memory optimized,22500 Megabit,2025-08-27 14:40:54.741987
c7i.8xlarge,AWS,AWS GovCloud (US-East),32,64.0,0,EBS only,1.7136,1250.928,,USD,Compute optimized,12500 Megabit,2025-08-27 14:40:54.742054
c6gn.8xlarge,AWS,EU (Milan),32,64.0,0,EBS only,1.6512,1205.376,,USD,Compute optimized,50 Gigabit,2025-08-27 14:40:54.742121
c6in.12xlarge,AWS,US East (Ohio),48,96.0,0,EBS only,2.7216,1986.768,,USD,Compute optimized,75000 Megabit,2025-08-27 14:40:54.742185
c6in.metal,AWS,Asia Pacific (Osaka),128,256.0,0,EBS only,9.1328,6666.9439999999995,,USD,Compute optimized,200000 Megabit,2025-08-27 14:40:54.742250
